attendance,study_hours,previous_marks,sleep_hours,internet_access,tuition,extracurricular,screen_time,assignments_completed,final_marks
93,1,91,8,1,0,0,8,5,79.0
98,2,71,9,1,0,1,1,9,100.0
94,5,96,8,1,0,0,8,8,100.0
80,4,99,4,0,1,1,7,6,93.1
92,3,97,5,0,1,1,5,10,100.0
60,3,93,6,0,0,1,2,4,84.2
75,5,42,7,1,1,0,6,10,91.8
79,2,77,4,1,0,0,8,8,73.6
89,1,46,9,1,0,0,2,2,65.2
50,2,66,4,0,1,1,2,2,63.4
92,2,88,7,0,0,1,1,8,95.1
70,6,51,4,1,0,1,8,2,72.4
51,2,98,6,0,1,0,7,7,79.9
98,6,65,4,1,0,0,8,2,80.6
69,3,42,5,1,1,1,1,10,87.1
87,7,82,6,1,1,1,6,10,100.0
56,8,74,5,1,0,1,4,2,96.8
70,5,67,8,0,0,0,1,5,90.3
64,3,75,9,0,1,0,5,3,79.3
59,4,47,9,1,1,0,6,6,81.6
50,1,50,9,0,1,1,5,9,71.5
67,6,61,8,0,0,0,3,9,97.3
77,2,74,8,1,1,1,4,5,88.0
75,8,85,6,1,0,1,7,7,100.0
87,1,53,7,1,1,0,8,2,59.6
93,1,100,9,0,0,0,8,8,85.6
68,3,80,9,1,0,0,3,2,83.1
51,4,73,9,1,0,0,5,9,92.9
78,6,61,6,0,0,0,4,8,92.0
99,5,82,7,0,1,1,3,5,100.0
77,1,92,8,1,0,0,4,4,80.2
90,8,50,4,1,0,0,5,2,87.5
57,6,85,5,1,1,0,7,1,86.9
60,6,68,6,1,1,0,2,7,100.0
75,7,99,5,1,0,0,3,4,100.0
86,1,85,4,1,0,1,2,2,73.2
85,4,84,7,0,1,0,2,9,100.0
75,7,89,5,1,0,1,6,8,100.0
92,6,64,4,0,1,0,6,10,98.0
89,1,100,6,1,1,0,4,7,92.8
65,2,72,6,0,0,0,5,8,72.3
95,3,77,9,1,0,0,6,6,90.8
77,6,92,9,0,0,1,4,7,100.0
93,7,84,5,0,1,0,2,2,100.0
78,3,75,5,1,1,1,5,4,84.1
63,4,59,4,1,1,1,7,10,86.7
73,3,46,4,0,1,0,6,9,70.0
55,6,54,6,0,0,1,8,4,73.6
97,8,92,9,0,0,1,7,4,100.0
100,1,86,7,0,1,0,7,7,81.9
58,2,49,7,1,0,0,1,4,66.7
79,3,91,7,1,1,0,6,5,92.2
79,3,86,5,0,1,0,7,10,89.7
60,1,58,5,0,0,1,7,3,48.7
80,6,80,8,1,1,1,4,7,100.0
99,7,78,4,0,0,1,3,3,98.5
53,7,95,8,1,0,0,4,4,100.0
68,1,57,6,1,0,0,3,1,55.9
95,8,67,5,1,0,1,1,6,100.0
75,6,73,4,0,1,1,8,6,90.2
100,2,69,7,0,0,1,7,4,72.1
94,1,50,9,0,0,1,8,2,56.8
52,1,55,7,0,0,0,5,10,63.9
88,7,84,4,0,1,1,7,5,100.0
82,1,70,4,1,1,1,8,6,70.4
74,8,86,7,1,0,0,2,1,100.0
76,3,93,4,1,1,0,2,8,98.4
93,7,90,6,1,0,0,1,2,100.0
61,5,59,7,1,1,0,5,10,97.3
74,1,59,4,1,0,0,5,3,54.9
99,7,63,9,0,1,1,3,6,100.0
91,2,84,5,0,1,1,2,6,88.8
89,5,80,9,0,1,1,1,10,100.0
77,3,56,9,0,1,0,1,1,76.3
81,2,54,8,0,1,1,7,5,71.3
97,7,66,8,0,1,0,3,8,100.0
54,1,68,6,0,1,0,4,10,74.0
66,5,94,4,1,1,0,1,5,100.0
95,3,77,5,0,1,0,5,2,76.3
79,1,94,7,0,0,1,2,4,80.4
90,7,52,9,0,1,1,1,7,100.0
86,7,52,7,0,0,1,5,5,92.5
50,6,43,6,1,0,1,2,3,80.2
82,1,82,8,0,0,0,8,4,66.2
54,8,89,5,1,1,0,1,9,100.0
56,2,94,6,1,1,1,3,2,83.3
52,2,70,6,1,0,1,7,1,59.9
55,4,83,4,0,0,0,2,3,75.2
63,4,76,6,0,1,0,7,9,87.5
93,4,53,9,0,0,1,4,6,86.8
72,2,40,4,1,1,1,8,9,67.4
66,8,91,7,0,1,0,6,1,100.0
70,8,40,5,0,0,1,6,7,88.0
71,2,52,8,1,0,1,6,9,78.0
81,8,59,9,1,0,0,1,4,100.0
74,2,49,5,0,0,0,4,3,54.4
81,1,79,8,0,1,1,2,3,79.8
87,8,78,6,0,1,0,5,6,100.0
65,5,55,6,1,1,0,1,7,94.5
61,8,64,9,1,0,0,7,2,94.3
73,2,93,8,1,1,1,7,5,90.3
77,8,73,6,1,0,0,5,5,100.0
57,1,92,6,1,0,0,4,5,74.2
67,4,57,4,0,1,0,5,1,63.7
78,7,82,8,0,1,1,3,4,100.0
76,4,89,9,0,0,0,6,1,81.8
100,8,76,7,0,0,0,8,5,100.0
99,1,44,7,0,1,1,2,5,71.4
60,2,66,5,0,0,0,4,1,54.4
84,3,65,7,0,1,1,7,10,89.3
53,1,52,8,0,0,1,1,10,73.9
70,3,95,6,0,0,1,3,2,81.5
56,8,89,4,0,0,1,3,1,95.3
94,2,75,7,0,1,1,1,1,81.3
71,5,63,4,0,1,0,2,1,76.4
100,2,86,8,0,1,1,2,4,93.4
68,2,50,5,0,0,0,8,7,55.6
89,3,42,4,1,0,1,8,2,57.6
62,2,51,4,0,0,1,5,9,64.3
62,8,78,7,1,1,0,3,3,100.0
77,7,40,9,1,1,0,3,5,99.9
81,5,86,9,1,0,1,2,6,100.0
66,2,52,9,0,1,0,2,6,76.0
85,7,84,6,0,0,0,4,10,100.0
93,3,47,7,0,1,0,8,3,65.4
76,5,82,7,0,1,0,5,10,100.0
98,8,42,6,0,0,0,6,5,89.4
90,7,43,4,1,0,1,7,4,83.7
68,2,67,7,1,1,0,4,5,78.4
89,4,99,8,1,1,1,7,2,99.9
66,1,73,5,1,0,1,8,3,59.4
84,4,43,9,0,1,1,6,7,85.0
51,1,74,5,1,1,0,5,5,67.3
90,7,73,8,1,0,1,5,2,100.0
66,4,80,6,0,0,0,6,6,80.2
88,4,60,9,1,0,0,2,7,95.6
69,1,57,7,1,0,0,4,3,60.6
55,4,65,7,0,0,0,6,4,70.0
59,3,53,4,0,1,1,2,5,71.0
72,1,74,5,1,0,0,2,4,69.0
83,7,55,5,0,1,0,1,8,100.0
50,3,57,6,1,0,0,4,2,62.8
95,2,73,5,0,0,0,5,8,76.7
79,5,65,6,1,0,0,4,9,95.8
64,4,61,7,1,1,0,8,9,87.2
50,7,91,8,0,1,0,5,8,100.0
80,3,41,6,1,1,1,5,2,68.9
94,8,68,7,1,1,1,4,6,100.0
82,2,56,6,0,0,0,7,7,64.3
98,6,77,5,0,0,0,6,7,95.4
91,3,42,5,1,1,1,2,6,82.0
58,6,55,8,0,0,0,1,4,86.1
98,5,68,4,0,0,0,1,5,88.3
70,8,64,9,0,0,1,5,1,95.1
67,4,72,7,1,1,1,3,9,100.0
77,2,64,9,1,0,0,2,5,81.0
71,8,79,5,0,0,1,6,8,100.0
82,3,40,8,0,0,1,1,4,72.9
84,2,82,6,0,1,1,3,10,95.1
70,6,71,4,0,0,1,3,10,98.9
59,2,72,4,1,0,0,4,1,59.6
78,3,71,4,0,0,0,2,2,68.0
68,6,63,9,1,0,0,8,9,97.8
53,6,94,8,0,1,1,3,6,100.0
53,8,52,9,1,1,0,2,7,100.0
89,1,83,6,1,0,0,3,7,82.5
77,4,79,6,0,1,0,1,10,100.0
63,7,60,7,1,0,1,1,2,96.1
93,7,60,9,1,1,1,3,3,100.0
75,5,45,7,1,0,1,1,4,86.5
73,1,69,9,0,0,0,1,2,67.7
55,8,48,6,1,1,0,7,5,91.7
51,2,54,4,0,0,1,6,4,51.8
60,2,48,5,0,0,1,8,6,54.2
83,6,64,4,0,1,1,3,4,91.7
53,7,63,9,1,1,1,7,8,100.0
65,7,92,9,1,0,1,1,1,100.0
97,1,94,4,1,1,1,7,1,74.5
61,2,78,6,0,1,1,8,9,79.4
56,5,49,9,0,1,0,5,10,91.3
89,7,96,7,1,1,1,4,9,100.0
54,7,49,5,0,1,0,8,3,74.4
99,7,94,6,1,0,1,6,4,100.0
71,8,67,8,0,0,1,2,8,100.0
86,7,42,6,0,1,0,8,2,78.0
51,5,59,6,0,0,1,2,7,84.8
68,3,75,7,0,0,0,6,4,71.6
67,5,86,4,0,1,0,4,3,85.8
94,3,96,7,1,1,0,8,1,86.2
56,2,78,5,1,1,0,1,3,76.9
76,6,61,5,1,0,1,3,1,85.1
54,1,50,8,0,1,0,5,8,65.3
95,7,45,6,0,0,1,3,7,96.5
54,2,100,9,0,1,1,8,7,88.8
90,8,83,4,0,1,1,3,6,100.0
63,4,93,4,1,1,1,4,4,92.8
84,5,91,7,0,0,1,5,7,100.0
56,4,75,5,1,0,1,4,3,79.2
80,2,47,7,0,0,0,1,1,59.3
57,5,75,6,0,0,0,7,8,83.9
78,7,60,7,0,1,1,7,9,100.0
73,8,42,4,1,0,0,8,4,80.4
65,7,58,6,1,1,1,5,4,96.7
86,3,46,5,1,1,0,4,8,80.6
87,5,66,5,0,1,1,2,1,85.8
59,2,92,6,1,0,1,7,6,80.1
90,3,40,7,1,0,0,1,6,78.5
92,5,52,8,1,0,0,8,3,79.2
80,2,47,4,0,0,1,1,7,68.3
69,5,68,7,1,0,0,1,1,85.5
84,4,83,6,0,0,1,4,6,91.0
77,8,75,9,1,0,1,8,1,100.0
57,3,89,9,1,0,0,7,8,90.5
87,7,88,5,0,0,0,3,1,95.1
55,3,85,4,0,1,0,1,4,79.5
63,7,62,8,0,1,1,6,10,100.0
70,5,66,6,1,1,0,3,6,94.9
72,4,49,9,0,0,1,6,2,70.0
85,7,59,8,0,0,1,5,5,97.1
55,3,50,4,0,0,1,2,2,58.0
99,1,89,5,0,0,0,3,4,73.9
66,6,97,6,0,1,1,5,8,100.0
75,1,48,9,0,0,0,2,10,74.2
71,1,76,5,1,0,1,4,8,77.6
71,1,51,6,0,1,0,8,6,56.6
51,5,72,6,0,0,0,7,5,75.5
78,3,70,4,1,1,1,2,7,90.6
67,5,60,7,1,1,0,7,6,87.9
97,7,86,7,1,1,1,8,2,100.0
79,3,70,8,0,0,0,3,8,86.3
97,7,89,8,1,0,0,6,4,100.0
83,4,62,8,1,0,0,8,10,90.4
90,6,67,8,1,0,1,4,5,100.0
69,5,51,4,1,0,0,8,6,72.2
52,3,80,5,0,0,1,2,9,85.4
50,1,64,8,0,0,1,1,10,78.1
63,8,93,7,0,1,1,4,4,100.0
96,4,85,8,0,0,1,5,3,90.7
99,1,71,6,0,0,1,3,8,79.7
53,5,61,4,1,0,1,2,4,81.0
77,2,61,6,1,0,0,6,5,67.8
72,5,95,7,0,1,0,8,5,94.4
58,4,46,9,0,1,0,3,8,84.5
76,8,51,7,0,0,0,6,2,84.6
87,2,46,6,1,0,1,1,8,80.3
81,8,48,5,1,0,0,1,2,92.9
92,6,87,9,1,1,0,5,4,100.0
91,5,91,8,0,1,1,6,6,100.0
84,1,60,9,0,0,1,8,9,72.8
55,7,85,4,1,0,1,3,9,100.0
54,2,76,6,1,1,1,2,5,83.2
50,2,59,6,1,1,1,6,6,71.6
77,7,68,7,1,1,0,4,7,100.0
65,6,93,4,0,1,1,6,3,93.2
58,7,99,5,1,0,1,5,2,100.0
86,8,60,7,0,0,1,1,1,98.7
90,1,53,5,0,1,1,3,3,63.7
75,3,75,7,1,0,0,8,2,71.0
81,6,90,8,1,1,1,8,4,100.0
86,2,65,4,0,0,1,2,6,73.2
66,1,80,8,0,0,1,1,8,83.7
56,3,51,6,0,1,1,6,10,77.6
97,5,62,6,0,0,1,4,8,94.2
96,1,76,4,1,1,0,2,3,75.6
85,1,55,9,0,0,0,8,1,52.0
73,6,96,4,1,1,1,7,1,95.5
62,4,50,8,0,0,1,8,7,73.4
84,8,65,7,1,0,0,4,7,100.0
89,3,41,4,0,1,1,3,9,78.7
66,5,72,8,0,1,0,8,3,82.0
68,6,99,4,1,1,1,1,6,100.0
100,6,93,5,1,1,0,6,3,100.0
66,4,63,4,0,1,0,5,7,77.9
98,5,41,4,1,1,1,2,1,81.0
81,8,62,6,1,1,0,2,5,100.0
59,2,90,7,1,0,0,4,5,80.8
92,5,86,6,0,0,1,5,8,100.0
50,2,47,6,1,0,0,8,2,47.8
58,7,54,5,0,1,1,8,3,80.2
89,2,88,8,0,1,1,3,3,88.5
70,7,82,6,1,1,0,2,2,100.0
63,3,42,6,1,0,1,6,9,73.4
70,6,63,7,0,0,1,8,9,92.2
60,4,44,6,0,0,1,4,1,60.6
54,2,96,4,1,0,1,4,9,87.2
65,7,87,6,1,0,0,6,5,100.0
87,2,73,9,1,1,0,2,7,95.6
58,3,94,9,0,0,1,3,2,84.7
83,1,72,9,1,1,0,7,6,79.9
62,7,85,5,0,0,1,6,6,97.4
75,2,76,8,1,0,1,8,7,81.4
70,2,82,4,1,1,0,8,10,82.8
89,3,71,9,0,0,0,4,4,81.2
52,2,44,4,0,1,1,8,7,56.0
51,2,76,9,0,0,1,2,9,86.6
59,5,95,4,1,1,1,7,2,89.3
78,8,98,7,0,0,1,7,6,100.0
57,3,81,6,1,0,0,6,9,84.8
62,8,64,9,1,0,1,2,9,100.0
56,5,40,4,1,1,1,8,9,79.2
71,8,87,5,1,0,0,6,2,99.0
88,3,89,7,1,0,0,3,10,100.0
63,1,51,4,1,0,0,8,6,51.0
75,5,97,4,0,0,0,1,8,100.0
70,5,40,4,0,0,0,6,8,70.0
60,5,68,5,1,1,0,8,1,74.2
51,4,52,8,1,0,0,4,2,70.0
70,6,86,7,0,1,1,4,3,100.0
90,4,78,8,0,0,0,3,2,84.7
68,7,68,9,1,0,0,6,1,91.8
68,4,85,4,0,0,0,8,2,67.6
65,2,56,7,1,0,0,5,7,70.9
94,7,77,6,0,1,0,8,6,100.0
77,3,87,4,0,0,0,7,9,80.7
84,5,69,6,0,1,1,2,9,100.0
69,4,44,4,0,0,0,1,3,63.9
87,7,98,4,0,0,0,5,6,100.0
97,5,98,8,1,0,0,1,5,100.0
61,3,90,9,0,0,1,7,2,77.7
64,4,95,9,0,0,0,4,10,100.0
93,4,68,6,0,0,0,2,3,80.8
51,7,67,5,0,1,1,2,6,99.0
78,3,51,6,0,1,0,4,10,82.0
65,4,54,9,1,1,1,3,4,89.1
97,4,50,6,1,0,0,6,9,85.4
57,7,70,6,1,1,1,7,3,94.9
52,6,68,7,1,1,1,4,7,100.0
89,3,51,6,0,0,0,1,10,83.7
54,4,92,8,1,0,0,3,5,94.1
88,7,84,4,1,1,1,5,4,100.0
60,5,74,4,1,1,1,6,6,90.6
97,1,71,7,0,1,1,8,3,68.8
55,1,64,9,1,0,0,8,7,66.6
93,4,71,5,1,1,1,2,8,100.0
56,1,91,8,1,1,0,5,4,79.1
87,3,42,4,0,0,1,5,4,60.7
87,5,98,6,0,1,1,3,9,100.0
65,1,59,5,1,1,0,8,4,57.6
79,2,47,6,0,0,1,2,4,64.6
80,3,74,6,1,1,0,7,4,80.1
52,2,45,9,1,1,1,5,4,69.9
66,5,61,5,0,1,1,5,2,77.1
77,6,73,7,0,1,1,8,10,100.0
53,5,63,7,0,1,0,3,1,77.3
84,6,84,8,0,0,1,2,4,100.0
58,3,47,5,1,1,1,1,5,76.9
100,3,52,6,1,0,1,1,7,88.3
75,6,89,7,0,1,0,6,8,100.0
85,6,72,6,1,0,1,2,1,94.8
80,7,50,7,1,0,0,7,7,93.5
57,2,61,4,0,0,1,4,2,54.8
59,4,68,9,0,0,0,5,10,89.5
69,2,76,6,0,0,1,6,7,74.2
71,8,87,8,0,1,0,6,1,100.0
99,5,44,9,1,1,0,3,10,100.0
63,7,52,5,1,1,1,5,5,93.9
61,6,95,9,1,0,1,1,10,100.0
74,8,85,5,0,0,1,6,3,98.8
50,5,75,6,1,0,0,7,5,81.5
56,4,74,9,0,0,1,7,2,75.3
50,1,61,6,0,1,0,7,5,55.9
70,3,70,7,1,0,1,5,9,89.5
70,4,88,9,0,1,1,4,3,95.2
100,2,81,8,0,0,0,5,7,84.9
60,7,46,7,0,1,0,4,7,92.4
58,4,74,6,0,1,0,1,3,82.7
87,5,44,7,0,0,0,8,5,72.0
93,2,95,8,0,1,0,2,10,100.0
100,4,95,7,0,0,1,6,8,100.0
53,4,67,8,0,0,0,2,6,82.4
95,3,73,5,1,0,0,7,9,85.7
80,7,62,6,0,1,1,6,6,98.8
78,1,56,9,0,1,0,7,9,73.5
53,6,42,9,0,0,1,5,5,80.9
86,8,79,8,1,1,1,7,8,100.0
58,3,52,4,0,1,1,3,7,72.9
85,1,54,8,1,0,0,4,7,72.6
58,5,89,9,0,1,1,2,10,100.0
74,2,72,4,0,1,1,1,9,86.1
83,4,40,7,1,1,1,3,4,83.1
78,1,53,8,1,1,1,8,9,76.8
76,8,90,8,0,0,1,5,6,100.0
93,5,96,7,1,0,0,5,4,100.0
50,1,68,6,0,1,1,8,2,54.2
74,5,76,8,1,1,1,6,4,98.2
97,1,81,5,1,0,1,2,3,77.8
50,3,91,5,1,0,0,8,1,66.4
81,4,41,5,1,0,1,7,9,78.1
92,8,41,4,0,0,0,7,1,74.3
79,7,74,9,0,1,1,3,4,100.0
88,6,58,4,0,1,0,6,8,90.8
89,7,64,4,1,0,0,5,9,100.0
90,6,43,9,1,1,0,1,7,100.0
51,6,48,5,0,1,1,2,4,82.4
50,7,56,7,0,0,1,4,3,84.4
88,1,70,9,1,0,1,5,10,89.1
93,5,87,7,0,0,1,3,1,92.9
60,4,78,8,0,1,0,1,10,100.0
87,1,44,5,0,0,1,3,9,66.5
86,3,72,7,0,0,0,5,1,69.5
75,1,76,5,1,0,1,8,8,72.4
78,6,64,5,1,1,0,1,4,97.7
97,8,83,4,1,1,0,5,2,100.0
83,5,88,4,1,1,1,2,1,96.8
51,2,46,9,0,0,1,5,2,56.1
71,3,83,7,1,0,1,5,6,88.9
76,6,57,4,1,0,1,4,7,92.0
78,1,79,7,1,1,0,4,9,88.2
78,3,48,5,1,1,0,7,6,71.3
54,8,85,5,1,1,0,3,1,100.0
95,5,82,6,0,1,1,8,8,100.0
51,8,57,4,0,1,0,8,4,82.0
51,7,48,5,0,1,0,3,2,78.9
57,1,81,6,1,0,0,2,4,70.8
66,1,57,8,1,0,1,7,3,60.5
73,3,47,8,1,1,0,1,7,86.9
95,2,84,5,1,1,0,8,2,74.6
97,6,82,6,1,0,1,2,3,100.0
86,6,68,9,0,0,0,1,9,100.0
65,1,62,4,1,0,0,2,2,56.8
99,1,65,9,0,1,0,3,4,77.3
67,3,92,4,0,0,0,5,3,71.7
65,8,99,7,1,0,0,2,9,100.0
62,5,57,8,1,0,0,8,2,73.2
55,7,98,9,1,0,0,2,2,100.0
54,1,100,7,1,1,0,1,9,96.3
88,5,71,8,0,1,1,6,10,100.0
59,8,67,7,0,1,1,5,6,100.0
79,2,93,9,0,1,0,7,7,89.5
63,8,90,9,0,0,0,8,5,100.0
72,8,59,6,0,1,0,5,5,97.5
57,2,73,6,0,1,1,4,8,80.6
62,6,92,8,1,1,1,5,1,100.0
64,7,53,6,0,0,1,5,6,88.5
90,2,70,7,1,1,1,1,1,83.5
91,6,56,8,0,1,0,8,5,89.6
56,7,66,4,1,0,0,8,10,93.6
58,5,57,7,1,1,0,4,9,95.4
66,5,45,5,0,0,1,5,7,75.7
77,7,71,7,0,1,1,6,5,100.0
67,1,81,4,0,1,1,2,8,79.8
61,1,48,8,1,0,1,5,5,62.9
92,1,68,6,0,1,1,4,3,70.6
53,2,57,5,0,0,1,4,1,52.4
74,7,89,8,1,0,0,7,8,100.0
52,4,81,6,1,1,0,1,9,100.0
67,2,71,8,0,0,0,4,4,69.8
57,8,86,8,1,0,0,7,4,100.0
54,3,45,7,1,0,0,1,3,67.3
93,7,55,4,0,1,0,6,6,91.6
73,5,86,9,0,1,1,8,8,100.0
66,1,58,7,0,1,0,6,1,53.4
54,5,83,4,0,0,1,1,5,88.5
86,6,93,4,1,0,0,8,8,100.0
77,8,48,8,0,1,1,7,5,98.1
92,6,68,8,0,0,0,5,3,90.1
83,2,41,4,1,1,1,2,8,77.0
84,2,41,8,1,0,0,4,7,72.2
66,2,74,5,1,0,1,8,2,62.8
51,2,88,9,1,1,0,6,7,88.4
71,5,100,4,1,1,0,8,6,97.2
74,5,51,6,1,1,0,4,8,92.2
95,7,70,6,1,0,0,5,1,93.5
79,6,50,7,1,0,0,7,9,92.3
57,5,55,6,0,0,0,5,6,74.9
96,5,56,9,0,1,0,4,4,91.6
65,8,45,9,1,1,0,6,6,100.0
65,7,80,5,0,1,0,7,2,88.5
83,3,89,5,1,1,1,2,5,97.2
100,6,52,6,0,1,1,1,1,91.3
50,5,76,5,1,0,1,7,7,86.9
91,4,64,5,1,0,0,1,4,85.3
89,3,93,4,1,1,0,7,9,95.5
51,2,76,7,1,0,0,3,3,71.1
64,6,73,7,0,0,1,5,10,100.0
74,2,49,6,1,0,0,5,1,55.9
80,1,40,6,0,1,1,5,2,53.5
58,6,41,8,1,0,0,3,7,88.5
92,1,92,4,0,0,1,8,3,65.2
69,8,70,7,1,1,0,1,5,100.0
61,4,99,8,1,1,0,4,2,95.8
51,2,100,8,0,0,0,3,1,73.7
58,7,44,6,0,1,0,5,5,83.7
55,4,92,7,0,0,1,8,6,84.8
65,2,71,7,0,0,0,2,5,72.4
77,2,82,5,1,1,1,8,5,79.2
64,1,65,6,0,1,1,2,2,64.8
97,4,73,6,1,0,1,7,1,80.1
70,4,51,4,0,0,0,8,2,54.4
75,6,67,7,0,1,0,3,6,98.3
99,7,86,9,1,1,0,3,1,100.0
71,5,96,4,1,1,0,3,5,100.0
91,3,72,4,0,1,1,1,10,96.5
57,8,44,8,1,0,0,4,2,88.0
62,2,72,4,1,0,0,3,10,79.7
86,6,89,4,0,1,0,2,8,100.0
76,2,64,7,0,1,0,8,9,75.8
96,3,84,6,0,1,1,7,2,81.3
99,1,73,6,0,0,1,6,7,74.0
51,4,49,7,0,1,0,3,2,68.3
82,7,100,9,1,0,1,7,6,100.0
90,4,98,9,0,1,1,2,5,100.0
91,4,79,6,0,1,0,3,5,92.3
50,4,58,5,1,0,0,1,4,74.7
